"Review packets Synthetic business records. SRC-D-3. Ordered references appear on separate lines. Empty optional entries are blank. Review packets preserve the facts seen at the time. Decision reference","Employee ID","Trip reference","Business purpose","Client","Schedule coverage","Alternatives considered","Permit reference","Expense references","Policy revision","Budget record references","Reviewed estimate (EUR)","Budget owner position","Trip revision","Permit revision","Travel cancellation references"
"D-C45-1-claim-budget_owner-supervisor-1","EMP-06","T45","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-45-1
COST-45-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C46-1-claim-administration-1","EMP-06","T46","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-46-1
COST-46-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C46-1-claim-budget_owner-supervisor-1","EMP-06","T46","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-46-1
COST-46-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C47-1-claim-administration-1","EMP-06","T47","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-47-1
COST-47-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C47-1-claim-budget_owner-supervisor-1","EMP-06","T47","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-47-1
COST-47-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C48-1-claim-administration-1","EMP-06","T48","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-48-1
COST-48-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C48-1-claim-budget_owner-supervisor-1","EMP-06","T48","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-48-1
COST-48-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C49-1-claim-administration-1","EMP-06","T49","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-49-1
COST-49-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C49-1-claim-budget_owner-supervisor-1","EMP-06","T49","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-49-1
COST-49-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C50-1-claim-administration-1","EMP-06","T50","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-50-1
COST-50-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C50-1-claim-budget_owner-supervisor-1","EMP-06","T50","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-50-1
COST-50-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C51-1-claim-administration-1","EMP-07","T51","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-51-1
COST-51-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C51-1-claim-budget_owner-1","EMP-07","T51","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-51-1
COST-51-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C51-1-claim-supervisor-1","EMP-07","T51","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-51-1
COST-51-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C52-1-claim-administration-1","EMP-07","T52","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-52-1
COST-52-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C52-1-claim-budget_owner-1","EMP-07","T52","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-52-1
COST-52-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C52-1-claim-supervisor-1","EMP-07","T52","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-52-1
COST-52-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C53-1-claim-administration-1","EMP-07","T53","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-53-1
COST-53-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C53-1-claim-budget_owner-1","EMP-07","T53","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-53-1
COST-53-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C53-1-claim-supervisor-1","EMP-07","T53","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-53-1
COST-53-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C54-1-claim-administration-1","EMP-07","T54","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-54-1
COST-54-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C54-1-claim-budget_owner-1","EMP-07","T54","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-54-1
COST-54-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C54-1-claim-supervisor-1","EMP-07","T54","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-54-1
COST-54-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C55-1-claim-administration-1","EMP-07","T55","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-55-1
COST-55-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C55-1-claim-budget_owner-1","EMP-07","T55","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-55-1
COST-55-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C55-1-claim-supervisor-1","EMP-07","T55","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-55-1
COST-55-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C56-1-claim-administration-1","EMP-07","T56","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-56-1
COST-56-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C56-1-claim-budget_owner-1","EMP-07","T56","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-56-1
COST-56-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C56-1-claim-supervisor-1","EMP-07","T56","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-56-1
COST-56-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C57-1-claim-administration-1","EMP-08","T57","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-57-1
COST-57-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C57-1-claim-budget_owner-supervisor-1","EMP-08","T57","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-57-1
COST-57-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C58-1-claim-administration-1","EMP-08","T58","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-58-1
COST-58-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C58-1-claim-budget_owner-supervisor-1","EMP-08","T58","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-58-1
COST-58-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C59-1-claim-administration-1","EMP-08","T59","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-59-1
COST-59-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C59-1-claim-budget_owner-supervisor-1","EMP-08","T59","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-59-1
COST-59-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C60-1-claim-administration-1","EMP-08","T60","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-60-1
COST-60-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C60-1-claim-budget_owner-supervisor-1","EMP-08","T60","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-60-1
COST-60-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C61-1-claim-administration-1","EMP-08","T61","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-61-1
COST-61-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C61-1-claim-budget_owner-supervisor-1","EMP-08","T61","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-61-1
COST-61-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C62-1-claim-administration-1","EMP-08","T62","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-62-1
COST-62-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C62-1-claim-budget_owner-supervisor-1","EMP-08","T62","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-62-1
COST-62-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C63-1-claim-administration-1","EMP-09","T63","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-63-1
COST-63-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C63-1-claim-budget_owner-1","EMP-09","T63","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-63-1
COST-63-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C63-1-claim-supervisor-1","EMP-09","T63","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-63-1
COST-63-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C64-1-claim-administration-1","EMP-09","T64","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-64-1
COST-64-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C64-1-claim-budget_owner-1","EMP-09","T64","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-64-1
COST-64-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C64-1-claim-supervisor-1","EMP-09","T64","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-64-1
COST-64-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C65-1-claim-administration-1","EMP-09","T65","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-65-1
COST-65-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C65-1-claim-budget_owner-1","EMP-09","T65","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-65-1
COST-65-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C65-1-claim-supervisor-1","EMP-09","T65","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-65-1
COST-65-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C66-1-claim-administration-1","EMP-09","T66","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-66-1
COST-66-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C66-1-claim-budget_owner-1","EMP-09","T66","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-66-1
COST-66-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C66-1-claim-supervisor-1","EMP-09","T66","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-66-1
COST-66-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C67-1-claim-administration-1","EMP-09","T67","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-67-1
COST-67-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C67-1-claim-budget_owner-1","EMP-09","T67","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-67-1
COST-67-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C67-1-claim-supervisor-1","EMP-09","T67","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-67-1
COST-67-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C68-1-claim-administration-1","EMP-09","T68","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-68-1
COST-68-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C68-1-claim-budget_owner-1","EMP-09","T68","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-68-1
COST-68-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C68-1-claim-supervisor-1","EMP-09","T68","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-68-1
COST-68-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C69-1-claim-administration-1","EMP-10","T69","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-69-1
COST-69-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C69-1-claim-budget_owner-supervisor-1","EMP-10","T69","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-69-1
COST-69-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C70-1-claim-administration-1","EMP-10","T70","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-70-1
COST-70-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C70-1-claim-budget_owner-supervisor-1","EMP-10","T70","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-70-1
COST-70-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C71-1-claim-administration-1","EMP-10","T71","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-71-1
COST-71-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C71-1-claim-budget_owner-supervisor-1","EMP-10","T71","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-71-1
COST-71-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C72-1-claim-administration-1","EMP-10","T72","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-72-1
COST-72-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C72-1-claim-budget_owner-supervisor-1","EMP-10","T72","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-72-1
COST-72-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C73-1-claim-administration-1","EMP-10","T73","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-73-1
COST-73-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C73-1-claim-budget_owner-supervisor-1","EMP-10","T73","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-73-1
COST-73-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C74-1-claim-administration-1","EMP-10","T74","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-74-1
COST-74-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C74-1-claim-budget_owner-supervisor-1","EMP-10","T74","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-74-1
COST-74-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C75-1-claim-administration-1","EMP-11","T75","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-75-1
COST-75-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C75-1-claim-budget_owner-1","EMP-11","T75","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-75-1
COST-75-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C75-1-claim-supervisor-1","EMP-11","T75","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-75-1
COST-75-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C76-1-claim-administration-1","EMP-11","T76","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-76-1
COST-76-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C76-1-claim-budget_owner-1","EMP-11","T76","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-76-1
COST-76-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C76-1-claim-supervisor-1","EMP-11","T76","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-76-1
COST-76-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C77-1-claim-administration-1","EMP-11","T77","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-77-1
COST-77-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C77-1-claim-budget_owner-1","EMP-11","T77","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-77-1
COST-77-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C77-1-claim-supervisor-1","EMP-11","T77","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-77-1
COST-77-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C78-1-claim-administration-1","EMP-11","T78","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-78-1
COST-78-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C78-1-claim-budget_owner-1","EMP-11","T78","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-78-1
COST-78-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C78-1-claim-supervisor-1","EMP-11","T78","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-78-1
COST-78-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C79-1-claim-administration-1","EMP-11","T79","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-79-1
COST-79-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C79-1-claim-budget_owner-1","EMP-11","T79","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-79-1
COST-79-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C79-1-claim-supervisor-1","EMP-11","T79","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-79-1
COST-79-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C80-1-claim-administration-1","EMP-11","T80","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-80-1
COST-80-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C80-1-claim-budget_owner-1","EMP-11","T80","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-80-1
COST-80-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C80-1-claim-supervisor-1","EMP-11","T80","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-80-1
COST-80-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C81-1-claim-administration-1","EMP-12","T81","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-81-1
COST-81-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C81-1-claim-budget_owner-supervisor-1","EMP-12","T81","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-81-1
COST-81-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C82-1-claim-administration-1","EMP-12","T82","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-82-1
COST-82-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C82-1-claim-budget_owner-supervisor-1","EMP-12","T82","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-82-1
COST-82-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C83-1-claim-administration-1","EMP-12","T83","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-83-1
COST-83-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C83-1-claim-budget_owner-supervisor-1","EMP-12","T83","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-83-1
COST-83-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C84-1-claim-administration-1","EMP-12","T84","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-84-1
COST-84-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C84-1-claim-budget_owner-supervisor-1","EMP-12","T84","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-84-1
COST-84-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C85-1-claim-administration-1","EMP-12","T85","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-85-1
COST-85-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C85-1-claim-budget_owner-supervisor-1","EMP-12","T85","Quarterly delivery review","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-85-1
COST-85-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C86-1-claim-administration-1","EMP-12","T86","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-86-1
COST-86-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C86-1-claim-budget_owner-supervisor-1","EMP-12","T86","Implementation planning","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-86-1
COST-86-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C87-1-claim-administration-1","EMP-13","T87","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-87-1
COST-87-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C87-1-claim-budget_owner-1","EMP-13","T87","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-87-1
COST-87-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C87-1-claim-supervisor-1","EMP-13","T87","Client workshop delivery","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-87-1
COST-87-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C88-1-claim-administration-1","EMP-13","T88","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-88-1
COST-88-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C88-1-claim-budget_owner-1","EMP-13","T88","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-88-1
COST-88-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C88-1-claim-supervisor-1","EMP-13","T88","Requirements meeting","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-88-1
COST-88-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C89-1-claim-administration-1","EMP-13","T89","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-89-1
COST-89-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C89-1-claim-budget_owner-1","EMP-13","T89","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-89-1
COST-89-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C89-1-claim-supervisor-1","EMP-13","T89","Onsite support handover","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-89-1
COST-89-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
"D-C90-1-claim-administration-1","EMP-13","T90","Customer training","Client-A","Team colleague covers routine support","Remote participation considered; onsite workshop requested","","COST-90-1
COST-90-2","POL-2026.2","B-ALLOC
B-OLD1
B-OLD2","","Approved","1","",""
