"Finance activity Synthetic business records. SRC-D-3. Null monetary entries are blank. Zero is 0.00. Arrival batch differs from the activity time. Activity reference","Arrival batch","Activity type","Request reference","Claim reference","Finance officer","Payee ID","Currency","Amount (EUR)","Original activity reference","Obligation (EUR)","Reason","Activity time (UTC)"
"F-C96-1","2","settled","REQ-C96","C96","FIN-01","EMP-14","EUR","65.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C97-accepted","1","accepted","REQ-C97","C97","FIN-01","EMP-14","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C97-1","2","settled","REQ-C97","C97","FIN-01","EMP-14","EUR","75.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C98-accepted","1","accepted","REQ-C98","C98","FIN-01","EMP-14","EUR","","","85.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C98-1","2","settled","REQ-C98","C98","FIN-01","EMP-14","EUR","85.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C99-accepted","1","accepted","REQ-C99","C99","FIN-01","EMP-03","EUR","","","999.99","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C99-1","2","settled","REQ-C99","C99","FIN-01","EMP-03","EUR","999.99","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C100-accepted","1","accepted","REQ-C100","C100","FIN-01","EMP-03","EUR","","","1,000.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C100-1","2","settled","REQ-C100","C100","FIN-01","EMP-03","EUR","1,000.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C101-accepted","1","accepted","REQ-C101","C101","FIN-01","EMP-03","EUR","","","1,000.01","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C101-1","2","settled","REQ-C101","C101","FIN-01","EMP-03","EUR","1,000.01","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C102-accepted","1","accepted","REQ-C102","C102","FIN-01","EMP-03","EUR","","","149.99","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C102-1","2","settled","REQ-C102","C102","FIN-01","EMP-03","EUR","149.99","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C103-accepted","1","accepted","REQ-C103","C103","FIN-01","EMP-03","EUR","","","150.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C103-1","2","settled","REQ-C103","C103","FIN-01","EMP-03","EUR","150.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C104-accepted","1","accepted","REQ-C104","C104","FIN-01","EMP-03","EUR","","","150.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C104-1","2","settled","REQ-C104","C104","FIN-01","EMP-03","EUR","150.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C105-accepted","1","accepted","REQ-C105","C105","FIN-01","EMP-03","EUR","","","39.99","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C105-1","2","settled","REQ-C105","C105","FIN-01","EMP-03","EUR","39.99","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C106-accepted","1","accepted","REQ-C106","C106","FIN-01","EMP-03","EUR","","","40.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C106-1","2","settled","REQ-C106","C106","FIN-01","EMP-03","EUR","40.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C107-accepted","1","accepted","REQ-C107","C107","FIN-01","EMP-03","EUR","","","40.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C107-1","2","settled","REQ-C107","C107","FIN-01","EMP-03","EUR","40.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C108-accepted","1","accepted","REQ-C108","C108","FIN-01","EMP-03","EUR","","","2.08","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C108-1","2","settled","REQ-C108","C108","FIN-01","EMP-03","EUR","2.08","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C109-accepted","1","accepted","REQ-C109","C109","FIN-01","EMP-03","EUR","","","2.08","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C109-1","2","settled","REQ-C109","C109","FIN-01","EMP-03","EUR","2.08","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C110-accepted","1","accepted","REQ-C110","C110","FIN-01","EMP-03","EUR","","","25.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C110-1","2","settled","REQ-C110","C110","FIN-01","EMP-03","EUR","25.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C111-accepted","1","accepted","REQ-C111","C111","FIN-01","EMP-03","EUR","","","25.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C111-1","2","settled","REQ-C111","C111","FIN-01","EMP-03","EUR","25.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C115-accepted","1","accepted","REQ-C115","C115","FIN-01","EMP-03","EUR","","","15.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C115-1","2","settled","REQ-C115","C115","FIN-01","EMP-03","EUR","15.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C120-accepted","1","accepted","REQ-C120","C120","FIN-01","EMP-04","EUR","","","75.00","Finance confirmed accepted","2026-09-11 12:00:00 UTC"
"F-C120-1","2","settled","REQ-C120","C120","FIN-01","EMP-04","EUR","30.00","","","Finance confirmed settled","2026-09-12 12:00:00 UTC"
"F-C120-2","3","settled","REQ-C120","C120","FIN-01","EMP-04","EUR","45.00","","","Finance confirmed settled","2026-09-13 12:00:00 UTC"
"F-C121-accepted","3","accepted","REQ-C121","C121","FIN-01","EMP-01","EUR","","","20.00","Finance confirmed accepted","2026-09-13 12:00:00 UTC"
"F-C121-1","4","settled","REQ-C121","C121","FIN-01","EMP-01","EUR","20.00","","","Finance confirmed settled","2026-09-14 12:00:00 UTC"
